,Missed Count,Request Number,Date Opened,Request,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y,fees
16,3,25733,11/02/17,Trash - Curbside/Alley Missed Pickup,Missed pickup,905 woodmont blvd,37204.0,RED RIVER,4305,25.0,1737879.02134805,647550.356123214,400
17,5,25789,11/02/17,Trash - Curbside/Alley Missed Pickup,missed pickup,116 bart dr,37013.0,RED RIVER,3404,30.0,1763440.96351524,628447.202311899,800
18,2,25791,11/02/17,Trash - Curbside/Alley Missed Pickup,Trash was not picked up today,5115 greentree dr,37211.0,RED RIVER,3401,27.0,1750027.36356976,630031.202408004,200
19,2,25825,11/03/17,Trash - Curbside/Alley Missed Pickup,Curb Trash missed Thursday. Duplex,531 cathy jo cir,37211.0,RED RIVER,1404,26.0,1756294.82770702,641849.907206801,200
20,3,25976,11/03/17,Trash - Curbside/Alley Missed Pickup,missed pick up - said happens often,2205 woodmont blvd,37215.0,RED RIVER,2305,25.0,1727989.86131255,649157.290032477,400
21,2,25987,11/03/17,Trash - Curbside/Alley Missed Pickup,Missed,1609 lillian st,37206.0,METRO,9506,6.0,1749557.76458195,670298.400857033,200
22,2,26009,11/03/17,Trash - Curbside/Alley Missed Pickup,missed pickup,1009 southside ave b,37203.0,METRO,9407,17.0,1737251.71928847,660570.705525375,200
23,11,26031,11/03/17,Trash - Curbside/Alley Missed Pickup,Missed.,2731 murfreesboro pike,37013.0,RED RIVER,4502,32.0,1781139.3630718,632445.602376676,2000
24,2,26058,11/05/17,Trash - Curbside/Alley Missed Pickup,did not see or hear truck on Friday,216 gentry ave,37206.0,METRO,9503,6.0,1752367.76583093,674908.120528695,200
25,2,26113,11/06/17,Trash - Curbside/Alley Missed Pickup,Missed pickup,208 scott ave,37206.0,METRO,9503,6.0,1751873.53924524,674600.564079415,200
26,2,26160,11/06/17,Trash - Curbside/Alley Missed Pickup,Missed entire area.,2511 lakevilla dr,37217.0,RED RIVER,4502,29.0,1778601.17793013,636324.950423673,200
27,3,26264,11/06/17,Trash - Curbside/Alley Missed Pickup,missed pick up,400 lorna dr,37214.0,RED RIVER,2503,15.0,1771304.96317514,664916.801166548,400
28,3,26283,11/06/17,Trash - Curbside/Alley Missed Pickup,missed,3124 murfreesboro pike,37013.0,RED RIVER,4502,33.0,1784737.3138611,629098.451312482,400
29,3,26284,11/06/17,Trash - Curbside/Alley Missed Pickup,missed,3124 murfreesboro pike,37013.0,RED RIVER,4502,33.0,1784737.3138611,629098.451312482,400
30,2,26311,11/06/17,Trash - Curbside/Alley Missed Pickup,missed on Friday,2524 lakevilla dr,37217.0,RED RIVER,4502,29.0,1778630.07374003,636218.257746206,200
31,2,26378,11/06/17,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,2511 lakevilla dr,37217.0,RED RIVER,4502,29.0,1778601.17793013,636324.950423673,200
32,6,26412,11/06/17,Trash - Curbside/Alley Missed Pickup,Missed.,3006 goodwin dr,37217.0,RED RIVER,2505,29.0,1783818.56442841,637801.602887005,1000
33,2,26551,11/07/17,Trash - Curbside/Alley Missed Pickup,Missed.,224 shoemaker ct,37013.0,RED RIVER,3504,33.0,1786256.20093912,631876.547064561,200
34,2,26673,11/07/17,Trash - Curbside/Alley Missed Pickup,customer says trash is not being picked up between 101-150 2nd Ave N,111 2nd ave n,37201.0,METRO,N/A,19.0,1739543.36496981,666600.801765471,200
35,2,26674,11/07/17,Trash - Curbside/Alley Missed Pickup,customer says trash is not being picked up between 101-150 2nd Ave N,111 2nd ave n,37201.0,N/A,N/A,19.0,1739543.36496981,666600.801765471,200
36,3,26828,11/08/17,Trash - Curbside/Alley Missed Pickup,Curb/trash dead end missed Tuesday.,3528 pewitt rd,37218.0,RED RIVER,3203,1.0,1722417.83575682,687919.298363714,400
37,8,26864,11/08/17,Trash - Curbside/Alley Missed Pickup,customer says the trash pickup was missed again,3210 whites creek pike,37207.0,RED RIVER,3201,3.0,1726432.96620837,691919.200296047,1400
38,2,26886,11/08/17,Trash - Curbside/Alley Missed Pickup,"Curb/Trash miss for pick up Tuesday. Out Monday night and wants cart empty.

Steve Woodson
615-227-9888",400 ewing dr,37207.0,RED RIVER,3201,2.0,1737160.15221742,692018.771429761,200
39,3,27023,11/08/17,Trash - Curbside/Alley Missed Pickup,Missed. other homes were also missed on this street,103 savoy cir,37205.0,RED RIVER,2304S,24.0,1725167.34638759,654656.811868711,400
40,2,27028,11/08/17,Trash - Curbside/Alley Missed Pickup,MISSED AGAIN,3516 west end ave,37205.0,METRO,9307,24.0,1725321.08602449,657055.751774673,200
41,2,27032,11/08/17,Trash - Curbside/Alley Missed Pickup,customer says missed pickup every week,3702 hobbs rd,37215.0,RED RIVER,3304,34.0,1721317.06630747,645218.701907879,200
42,2,27234,11/09/17,Trash - Curbside/Alley Missed Pickup,"trash missed pick up
please note if resident is not using correct cart",68 ravenwood hills cir,37215.0,RED RIVER,3303S,25.0,1728043.34715978,640999.191433109,200
43,4,27300,11/09/17,Trash - Curbside/Alley Missed Pickup,Missed.,2019 beech ave b,37204.0,METRO,9401,17.0,1737916.82947988,655806.175709279,600
44,2,27538,11/13/17,Trash - Curbside/Alley Missed Pickup,Missed.,908 kalvesta ct,37013.0,RED RIVER,3502,33.0,1791235.62590081,635419.565541404,200
45,2,27678,11/13/17,Trash - Curbside/Alley Missed Pickup,The whole street missed for last Friday/pickup. Curb,3300 hamilton church rd,37013.0,RED RIVER,3504,33.0,1787670.03375471,630540.530906277,200
46,11,27760,11/13/17,Trash - Curbside/Alley Missed Pickup,Missed pickup again for the entire street,2731 murfreesboro pike,37013.0,RED RIVER,4502,32.0,1781139.3630718,632445.602376676,2000
47,2,27844,11/14/17,Trash - Curbside/Alley Missed Pickup,missed pick up - others missed in area,5312 bell crest dr,37013.0,RED RIVER,4502,32.0,1780612.16443521,630313.600944423,200
48,2,27960,11/14/17,Trash - Curbside/Alley Missed Pickup,missed trash for past 2 weeks,2416 brasher ave,37206.0,METRO,9503,5.0,1747737.28700338,678856.014746002,200
49,5,28059,11/15/17,Trash - Curbside/Alley Missed Pickup,Missed - resident is  curious why ?,1223 n 6th st,37207.0,METRO,9203,5.0,1744146.80603031,678102.808250004,800
50,5,28070,11/15/17,Trash - Curbside/Alley Missed Pickup,"The whole cul-de-sac curb missed for Tuesday, even talked to driver he said to caller he would be back and did not. Cul de sac missed.",3793 hilltop ave,37216.0,RED RIVER,2205,8.0,1751509.98590193,686346.883910008,800
51,5,28156,11/15/17,Trash - Curbside/Alley Missed Pickup,Missed- trash/carts curbside {Tuesday},1209 4th ave n,37208.0,WASTE IND,3208,19.0,1736133.76626088,671734.401692735,800
52,2,28166,11/15/17,Trash - Curbside/Alley Missed Pickup,Missed.,400 ewing dr,37207.0,RED RIVER,3201,2.0,1737709.76425264,692072.000032791,200
53,8,28246,11/15/17,Trash - Curbside/Alley Missed Pickup,missed trash pick up,3210 whites creek pike,37207.0,RED RIVER,3201,3.0,1726432.96620837,691919.200296047,1400
54,2,28248,11/15/17,Trash - Curbside/Alley Missed Pickup,missed trash for past 2 weeks,2416 brasher ave,37206.0,METRO,9503,5.0,1747737.28700338,678856.014746002,200
55,3,28377,11/16/17,Trash - Curbside/Alley Missed Pickup,Curb address has been missed please pick up.,468 elysian fields rd,37211.0,RED RIVER,4302,26.0,1751403.7543107,638232.441900429,400
56,2,28381,11/16/17,Trash - Curbside/Alley Missed Pickup,trash cart empty,1307 hildreth dr,37215.0,RED RIVER,3303,34.0,1728445.08855662,637370.858789192,200
57,2,28478,11/16/17,Trash - Curbside/Alley Missed Pickup,missed pick up..caller req trash be picked up before Saturday,615 douglas ave,37207.0,METRO,9203,5.0,1744557.76448135,678184.800085903,200
58,2,28562,11/16/17,Trash - Curbside/Alley Missed Pickup,Missed.,2218 harding pl,37215.0,RED RIVER,3301,34.0,1720809.74627948,641606.911684021,200
59,4,28578,11/16/17,Trash - Curbside/Alley Missed Pickup,missed trash pickup,4014 indiana ave,37209.0,RED RIVER,1309,21.0,1721894.56694989,664997.601753082,600
60,2,28625,11/17/17,Trash - Curbside/Alley Missed Pickup,Alley trash/miss Thursday's. #200,20 music sq w 200,37203.0,METRO,9405,19.0,1734262.5652011,662435.202556127,200
61,5,28638,11/17/17,Trash - Curbside/Alley Missed Pickup,customer has 2 trash carts and only one of them were emptied,1209 4th ave n,37208.0,WASTE IND,3208,19.0,1736133.76626088,671734.401692735,800
62,3,28823,11/17/17,Trash - Curbside/Alley Missed Pickup,customer says missed trash pickup for the street,3402 shakerville ct,37013.0,RED RIVER,3502,33.0,1790915.37967253,637226.17399534,400
63,3,28844,11/17/17,Trash - Curbside/Alley Missed Pickup,missed trash pickup,108 lexington ct,37215.0,RED RIVER,3304,34.0,1722376.21656187,644865.632036361,400
64,2,28845,11/17/17,Trash - Curbside/Alley Missed Pickup,missed pick up {check for others},3570 gondola dr,37013.0,RED RIVER,3502,33.0,1791266.67459846,637263.487443912,200
65,4,28848,11/17/17,Trash - Curbside/Alley Missed Pickup,Had trash at road last night but still missed pickup this morning,4049 moss rd.,37013.0,N/A,N/A,28.0,1772181.59871171,628840.169897501,600
66,4,28849,11/17/17,Trash - Curbside/Alley Missed Pickup,Had trash at road last night but still missed pickup this morning,4049 moss rd.,37013.0,N/A,N/A,28.0,1772181.59871171,628840.169897501,600
67,4,28850,11/17/17,Trash - Curbside/Alley Missed Pickup,Had trash at road last night but still missed pickup this morning,4049 moss rd.,37013.0,N/A,N/A,28.0,1772181.59871171,628840.169897501,600
68,4,28851,11/17/17,Trash - Curbside/Alley Missed Pickup,Had trash at road last night but still missed pickup this morning,4049 moss rd.,37013.0,N/A,N/A,28.0,1772181.59871171,628840.169897501,600
69,2,28863,11/17/17,Trash - Curbside/Alley Missed Pickup,They skipped my house for trash pickup,605 welshcrest pl,37013.0,RED RIVER,4504,32.0,1776990.16579546,632123.549540194,200
70,3,28982,11/20/17,Trash - Curbside/Alley Missed Pickup,"Upset trash/out night before and still getting missed, Friday's. Curb {Trash} Complaint 2 weeks. Wants cart emptied.",3401 country way rd,37013.0,RED RIVER,3503,33.0,1790588.96367877,634434.385235605,400
71,3,29028,11/20/17,Trash - Curbside/Alley Missed Pickup,customer says missed trash pickup for the street,3402 shakerville ct,37013.0,RED RIVER,3502,33.0,1790915.37967253,637226.17399534,400
72,3,29035,11/20/17,Trash - Curbside/Alley Missed Pickup,missed pick up,400 lorna dr,37214.0,RED RIVER,2503,15.0,1771304.96317514,664916.801166548,400
73,2,29050,11/20/17,Trash - Curbside/Alley Missed Pickup,cust says missed pickup again,1009 southside ave b,37203.0,METRO,9407,17.0,1737251.71928847,660570.705525375,200
74,2,29082,11/20/17,Trash - Curbside/Alley Missed Pickup,Missed- trash pickup,2341 valley brook rd,37215.0,RED RIVER,3304,25.0,1726304.12821683,647908.426916676,200
75,2,29338,11/21/17,Trash - Curbside/Alley Missed Pickup,missed trash pick up,2902 brick church pike,37207.0,RED RIVER,3201,2.0,1737222.56621957,688294.399743654,200
76,2,29339,11/21/17,Trash - Curbside/Alley Missed Pickup,missed trash pick up,2906 brick church pike,37207.0,RED RIVER,3201,2.0,1737232.16517672,688499.199265674,200
77,4,29504,11/21/17,Trash - Curbside/Alley Missed Pickup,missed pick up,316 rosebank ave,37206.0,RED RIVER,1202,6.0,1754924.51370239,675537.533915845,600
78,5,29510,11/21/17,Trash - Curbside/Alley Missed Pickup,Missed.,1835 hermosa st,37208.0,METRO,9208,21.0,1730309.76563458,667240.002083251,800
79,2,29522,11/22/17,Trash - Curbside/Alley Missed Pickup,MISSED TRASH ALLEY TUESDAY CHECK FOR OTHERS. UNIT-B SIDE.,1727 seifried st,37208.0,METRO,9205,21.0,1728217.8103115,673940.426494044,200
80,4,29569,11/22/17,Trash - Curbside/Alley Missed Pickup,"Curb Trash keeps getting missed, the only house there, across from the Church, does not understand why trash is missed often. Tuesday. Out by 4:00 a.m. {Complaint}",2218 buena vista pike,37218.0,RED RIVER,4204,2.0,1724505.76628625,679777.599715987,600
81,2,29603,11/22/17,Trash - Curbside/Alley Missed Pickup,Missed pick up,205 haynes park dr,37218.0,RED RIVER,3204,1.0,1722413.14610095,685644.070436883,200
82,3,29677,11/22/17,Trash - Curbside/Alley Missed Pickup,customer says the trash is usually missed every other week,733 park cir,37205.0,METRO,9307,24.0,1725466.87698744,661106.22483416,400
83,2,29682,11/22/17,Trash - Curbside/Alley Missed Pickup,Missed.,4207 hood ave,37215.0,RED RIVER,3303,25.0,1727262.56666556,643287.202139057,200
84,3,29696,11/24/17,Trash - Curbside/Alley Missed Pickup,They missed our street on Wednesday 11/22.,2005 beechwood ave,37212.0,METRO,9308,18.0,1731517.17239764,653781.454641451,400
85,2,29899,11/27/17,Trash - Curbside/Alley Missed Pickup,cust says the entire street was missed,3604 green garden ct,37013.0,RED RIVER,3503,33.0,1791175.93665326,633461.130907941,200
86,2,29905,11/27/17,Trash - Curbside/Alley Missed Pickup,Missed.,2549 pennington bend rd,37214.0,RED RIVER,1501,15.0,1762386.86894177,692325.510670105,200
87,2,29933,11/27/17,Trash - Curbside/Alley Missed Pickup,missed pickup,2934 harlin dr,37211.0,METRO,9408,16.0,1747355.36487754,646920.000855941,200
88,3,29951,11/27/17,Trash - Curbside/Alley Missed Pickup,"Trash/miss for Saturday's pickup, ALLEY {check for others} missed.",457 humphreys st b,37203.0,WASTE IND,2408,17.0,1741525.89297172,659200.58348836,400
89,2,29981,11/27/17,Trash - Curbside/Alley Missed Pickup,Missed.,140 colemont dr,37013.0,RED RIVER,3404,30.0,1763259.36493522,629772.802286537,200
90,12,29983,11/27/17,Trash - Curbside/Alley Missed Pickup,Missed.,1584 bell rd,37211.0,RED RIVER,4404,31.0,1762228.96406743,623444.801982233,2200
91,2,30020,11/27/17,Trash - Curbside/Alley Missed Pickup,missed pick up,1210 boscobel st,37206.0,RED RIVER,1507,6.0,1747662.64626192,670105.958680215,200
92,3,30057,11/27/17,Trash - Curbside/Alley Missed Pickup,"MISSED PICK UP - PICK UP IS ON 9TH AVE S SIDE OF HOME
NO ALLEY BEHIND HOME - PLEASE REVIEW TRACI & MAP",2315 vaulx ln,37204.0,METRO,9404,17.0,1737256.50591047,653393.439898955,400
93,5,30453,11/28/17,Trash - Curbside/Alley Missed Pickup,Missed.,1821 ed temple blvd,37208.0,METRO,9201,21.0,1725080.96565131,674162.401637195,800
94,2,30522,11/29/17,Trash - Curbside/Alley Missed Pickup,cust says this address was skipped,4307 lone oak rd,37215.0,RED RIVER,3305,25.0,,,200
95,2,30548,11/29/17,Trash - Curbside/Alley Missed Pickup,missed pick up,519 wilson blvd,37205.0,RED RIVER,2302,24.0,1722300.1669282,658039.202642879,200
96,2,30568,11/29/17,Trash - Curbside/Alley Missed Pickup,Missed. Trash has been missed twice in 2 weeks. Entire Coda-sac has not been picked up.,6526 cornwall ct,37205.0,RED RIVER,1301,23.0,1703044.16588689,647854.402228952,200
97,15,30703,11/29/17,Trash - Curbside/Alley Missed Pickup,Missed.,3710 n natchez ct,37211.0,RED RIVER,4302,16.0,1751377.76331558,641918.401927307,2800
98,2,30708,11/29/17,Trash - Curbside/Alley Missed Pickup,None of the Trash was not picked up on Wednesday  on White Oak Drive 37215.,2806 white oak dr b,37215.0,RED RIVER,2305,25.0,1728754.23195924,651739.557952847,200
99,4,30823,11/30/17,Trash - Curbside/Alley Missed Pickup,cust says missed pickup; cust says its appears the entire street was missed,4014 indiana ave,37209.0,RED RIVER,1309,21.0,1721894.56694989,664997.601753082,600
100,6,30871,11/30/17,Trash - Curbside/Alley Missed Pickup,Missed. Does not have access to Alley. Curb side only,5411 california ave,37209.0,METRO,9302,20.0,1716349.00137912,667452.558328131,1000
101,2,30902,11/30/17,Trash - Curbside/Alley Missed Pickup,missed pickup for the entire street,2600 westwood ave,37212.0,RED RIVER,2305,18.0,1729520.9672226,653928.001491632,200
102,2,30933,11/30/17,Trash - Curbside/Alley Missed Pickup,2 carts are full  - others missed in area,1029 3rd ave s,37210.0,WASTE IND,4409,17.0,1741886.50784842,661372.011682839,200
103,4,31095,12/01/17,Trash - Curbside/Alley Missed Pickup,Missed- entire street still has carts out.,4203 belmont blvd,37215.0,RED RIVER,3302,25.0,1731278.5657944,644164.001888864,600
104,4,31096,12/01/17,Trash - Curbside/Alley Missed Pickup,"Trash cans on our street were not collected on Wednesday, November 29.",4203 belmont blvd,37215.0,RED RIVER,3302,25.0,1731278.5657944,644164.001888864,600
105,2,31106,12/01/17,Trash - Curbside/Alley Missed Pickup,"missed pick up - picked up everyone except his cart
said 6th time in past year",1815 lillian st,37206.0,METRO,9508,6.0,1750871.36338676,670158.401718105,200
106,3,31127,12/01/17,Trash - Curbside/Alley Missed Pickup,missed back door pick up,1421 jones ave,37207.0,METRO,9203,5.0,1744686.56384716,679822.398822449,400
107,2,31489,12/04/17,Trash - Curbside/Alley Missed Pickup,missed trash on this side of entire street,417 arrowwood dr,37211.0,RED RIVER,2401,26.0,1744476.16447337,632852.801159634,200
108,12,31548,12/04/17,Trash - Curbside/Alley Missed Pickup,Missed 2 carts full,15 hermitage ave,37210.0,WASTE IND,4507,19.0,1741257.87409158,664665.162430791,2200
109,2,31695,12/05/17,Trash - Curbside/Alley Missed Pickup,Missed,522 ben allen rd,37216.0,RED RIVER,2201,8.0,1748853.76386231,687790.599932907,200
110,2,31779,12/05/17,Trash - Curbside/Alley Missed Pickup,cust says trash was missed,802 newhall dr,37206.0,RED RIVER,1201,6.0,1754892.16496068,673348.002060431,200
111,2,31860,12/06/17,Trash - Curbside/Alley Missed Pickup,missed pickup; 513 Fisk St Unit A,513 fisk st,37203.0,METRO,9208,19.0,1732136.16563181,666010.401576572,200
112,2,31909,12/06/17,Trash - Curbside/Alley Missed Pickup,Missed.,1917 church st,37203.0,METRO,9208,21.0,1732297.76687969,663511.20193711,200
113,2,31928,12/06/17,Trash - Curbside/Alley Missed Pickup,missed pick up- caller states it appears that some of trash was picked up but not entire contents of cart,2245 stratford ave,37216.0,RED RIVER,1204,7.0,1757261.76382948,682238.399593053,200
114,3,31938,12/06/17,Trash - Curbside/Alley Missed Pickup,Missed pickup-this is an ongoing propblem,108 lexington ct,37215.0,RED RIVER,3304,34.0,1722376.21656187,644865.632036361,400
115,4,31998,12/06/17,Trash - Curbside/Alley Missed Pickup,cust says missed pickup,207 24th ave n,37203.0,METRO,9208,21.0,1730063.41416755,661938.431283725,600
116,2,32018,12/06/17,Trash - Curbside/Alley Missed Pickup,missed pick up,705 sweet cherry ct,37215.0,RED RIVER,3303,25.0,1727645.10618879,641721.733106316,200
117,3,32037,12/06/17,Trash - Curbside/Alley Missed Pickup,missed pickup for the entire street,4015 graybar ct,37215.0,RED RIVER,3305,25.0,1730009.8353346,648496.450006844,400
118,2,32042,12/06/17,Trash - Curbside/Alley Missed Pickup,"Trash schedule pickup Wednesday?s, not picked up. When should we expect it to be picked up?",419 36th ave n b,37209.0,WASTE IND,3306,24.0,1724066.30581004,663825.978869598,200
119,4,32049,12/07/17,Trash - Curbside/Alley Missed Pickup,New home no alley access have cans and am registered for Wed.  Can rolled out in driveway.  No pick up twice now.  Getting out of hand.  Can is very very full need pick up.,2000 ashwood ave,37212.0,METRO,9308,18.0,1732005.30440683,654676.32638971,600
120,8,32116,12/07/17,Trash - Curbside/Alley Missed Pickup,cust says trash missed,123 37th ave n,37209.0,WASTE IND,2308,24.0,1723662.24135667,659451.733435401,1400
121,5,32130,12/07/17,Trash - Curbside/Alley Missed Pickup,MISSED TRASH CHECK FOR OTHERS ALSO MISSED CURB. 12 condos all may have been missed,101 westover park ct,37215.0,RED RIVER,3305S,25.0,1729295.48572431,644211.602900968,800
122,8,32175,12/07/17,Trash - Curbside/Alley Missed Pickup,Curb/2 Trash miss {Wednesday} Wants cart emptied today.,2404 crestmoor rd,37215.0,RED RIVER,3305,25.0,1726567.81665148,647623.376259623,1400
123,3,32266,12/07/17,Trash - Curbside/Alley Missed Pickup,customer says the trash is usually missed every other week,733 park cir,37205.0,METRO,9307,24.0,1725466.87698744,661106.22483416,400
124,2,32271,12/07/17,Trash - Curbside/Alley Missed Pickup,cust says missed pickup,3505 steffisburg dr,37211.0,RED RIVER,4403,4.0,1755260.63159004,622585.225343873,200
125,4,32286,12/08/17,Trash - Curbside/Alley Missed Pickup,Missed-Trash... Customer says trash has been missed several time in the last couple of weeks.,4014 indiana ave,37209.0,RED RIVER,1309,21.0,1721894.56694989,664997.601753082,600
126,2,32367,12/08/17,Trash - Curbside/Alley Missed Pickup,"MISSED TRASH ALLEY TUESDAY CHECK FOR OTHERS. UNIT-B SIDE.
Caller watch them go to alley not picking up some carts. Cart is out. {Wants cart emptied.
previous ticket Hub 31933 / PW 943535 said cart not out - resident very upset 
wants call 615-732-9249",1727 seifried st,37208.0,METRO,9205,21.0,1728217.8103115,673940.426494044,200
127,3,32403,12/08/17,Trash - Curbside/Alley Missed Pickup,trash missed,524 harding pl,37211.0,RED RIVER,4302,26.0,1751208.96335089,635651.200956123,400
128,5,32481,12/08/17,Trash - Curbside/Alley Missed Pickup,trash was missed for the street,3436 towne village rd,37013.0,RED RIVER,3503,33.0,1791306.56439233,634503.202497896,800
129,5,32487,12/08/17,Trash - Curbside/Alley Missed Pickup,missed pickup,2774 smith springs rd,37217.0,RED RIVER,2505,29.0,1786895.36366149,639764.802373065,800
130,2,32543,12/11/17,Trash - Curbside/Alley Missed Pickup,"Trash/miss for 2 week in a row, ALLEY Wednesday. Other neighbors as well. Wants carts emptied.",213 38th ave n,37209.0,WASTE IND,2308,24.0,1723364.16711792,659960.001291131,200
131,2,32593,12/11/17,Trash - Curbside/Alley Missed Pickup,Missed.-trash,3005 woodymore pl,37013.0,RED RIVER,3502,29.0,1788155.57556625,635248.254525309,200
132,6,32598,12/11/17,Trash - Curbside/Alley Missed Pickup,trash was not picked up again,3006 goodwin dr,37217.0,RED RIVER,2505,29.0,1783818.56442841,637801.602887005,1000
133,2,32680,12/11/17,Trash - Curbside/Alley Missed Pickup,Missed.,4088 pineorchard pl,37013.0,RED RIVER,4510,32.0,1785825.99313105,624654.082637037,200
134,3,32880,12/12/17,Trash - Curbside/Alley Missed Pickup,cust says missed pickup,6600 ascot dr,37013.0,RED RIVER,3503,33.0,1795058.28450022,633130.931528818,400
135,3,33048,12/12/17,Trash - Curbside/Alley Missed Pickup,Missed.,207 greenbranch ct,37207.0,RED RIVER,2201,2.0,1742806.40889251,687895.046715072,400
136,2,33228,12/13/17,Trash - Curbside/Alley Missed Pickup,Trash was not picked up,4720 benton smith rd,37215.0,RED RIVER,3303,34.0,1728590.56687812,638196.001067783,200
137,5,33245,12/13/17,Trash - Curbside/Alley Missed Pickup,2nd week in a row missed collection.,4100 hillsboro cir,37215.0,RED RIVER,3305,25.0,1726495.36639119,644874.40189691,800
138,2,33302,12/13/17,Trash - Curbside/Alley Missed Pickup,I have 2 containers they picked up the less full one & left the full one. It is not really a complaint Just wanted you to be aware,4111 media st,37209.0,WASTE IND,2306,24.0,1721621.76541786,660552.002288867,200
139,2,33303,12/13/17,Trash - Curbside/Alley Missed Pickup,I have 2 containers they picked up the less full one & left the full one. It is not really a complaint Just wanted you to be aware,4111 media st,37209.0,WASTE IND,2306,24.0,1721621.76541786,660552.002288867,200
140,3,33313,12/14/17,Trash - Curbside/Alley Missed Pickup,Curb address has been missed please pick up.,468 elysian fields rd,37211.0,RED RIVER,4302,26.0,1751403.7543107,638232.441900429,400
141,2,33317,12/14/17,Trash - Curbside/Alley Missed Pickup,"Curb/trash miss for whole street no pickup for Tuesday. Out night before needs to be emptied. 

Angela Jones 
615-557-5724",1732 st louis st,37208.0,METRO,9205,21.0,1728179.3669923,673693.602099807,200
142,3,33349,12/14/17,Trash - Curbside/Alley Missed Pickup,Trash/Curb miss for Wednesday.,1406 harding pl,37215.0,RED RIVER,3303,25.0,1728887.3667943,640557.601801667,400
143,5,33360,12/14/17,Trash - Curbside/Alley Missed Pickup,MISSED TRASH CHECK FOR OTHERS CURB. All 12 condos have been missed.,101 westover park ct,37215.0,RED RIVER,3305S,25.0,1729295.48572431,644211.602900962,800
144,2,33394,12/14/17,Trash - Curbside/Alley Missed Pickup,Missed.,1328 stratford ave,37216.0,RED RIVER,2205,7.0,1755484.77738738,685074.767800617,200
145,2,33445,12/14/17,Trash - Curbside/Alley Missed Pickup,Missed.,416 shoreline cir,37013.0,RED RIVER,4310,33.0,1795545.77935441,626962.10651379,200
146,2,33495,12/14/17,Trash - Curbside/Alley Missed Pickup,Missed. Cresent and Clearview Dr both streets were missed.,702 clearview dr a,37205.0,RED RIVER,2303,24.0,1721101.02743223,652215.405824534,200
